round,event,action,alive,winprob,equip,swings
6,8,Jee killed Jame,2v2,34.7/65.3,,Jee +26.77%;Jame -26.77%
6,9,Mercury killed FL1T,1v2,8.8/91.2,,Mercury +25.96%;FL1T -25.96%
6,10,zweih killed Mercury,1v1,20.7/79.3,,zweih +4.79%;FL1T +7.17%;Jee -3.80%;Mercury -8.15%
6,11,zweih killed Jee,1v0,80.6/19.4,,zweih +23.13%;xiELO +12.52%;FL1T +24.25%;Jee -59.90%
6,12,zweih defused the bomb,1v0,100.0/0.0,,zweih +13.37%;slaxejezzz +2.31%;xiELO +1.70%;FL1T +1.98%;Jee -9.68%;Mercury -9.68%
7,1,Round started,5v5,70.0/30.0,PARIVISION=$30.35K (FULL);TYL=$6.75K (HALF),
7,2,xiELO killed JamYoung,5v4,82.0/18.0,,xiELO +11.21%;FL1T +0.77%;JamYoung -11.98%
7,3,FL1T killed Zero,5v3,92.4/7.6,,FL1T +10.42%;Zero -10.42%
7,4,Jee killed FL1T,4v3,81.9/18.1,,Jee +5.61%;FL1T -10.56%;Moseyuh +0.82%;Zero +4.12%
7,5,xiELO killed Moseyuh,4v2,91.7/8.3,,xiELO +4.61%;slaxejezzz +3.19%;FL1T +1.98%;Moseyuh -6.67%;Jee -3.11%
7,6,xiELO killed Jee,4v1,99.2/0.8,,xiELO +2.67%;slaxejezzz +1.92%;FL1T +3.00%;Jee -7.59%
7,7,xiELO killed Mercury,4v0,100.0/0.0,,xiELO +0.76%;Mercury -0.76%
8,1,Round started,5v5,50.0/50.0,PARIVISION=$31.35K (FULL);TYL=$21.4K (FULL),
8,2,FL1T killed Moseyuh,5v4,67.0/33.0,,FL1T +16.97%;Moseyuh -16.97%
8,3,FL1T killed Mercury,5v3,84.4/15.6,,FL1T +17.39%;Mercury -17.39%
8,4,JamYoung killed FL1T,4v3,71.0/29.0,,JamYoung +4.12%;FL1T -13.37%;Moseyuh +5.20%;Mercury +4.06%
8,5,JamYoung killed zweih,3v3,44.4/55.6,,JamYoung +17.05%;zweih -26.61%;Jee +9.56%
8,6,Zero planted the bomb,3v3,27.1/72.9,,Zero +0.00%;zweih -11.54%;FL1T -5.80%;Moseyuh +2.26%;JamYoung +9.18%;Jee +4.15%;Mercury +1.76%
8,7,Jee killed xiELO,2v3,8.5/91.5,,Jee +18.58%;slaxejezzz -5.91%;xiELO -12.67%
8,8,Jee killed slaxejezzz,1v3,0.9/99.1,,Jee +7.55%;slaxejezzz -7.55%
8,9,Jame killed JamYoung,1v2,2.5/97.5,,Jame +0.70%;slaxejezzz +0.87%;FL1T +0.01%;JamYoung -1.58%
8,10,Bomb detonated,1v2,0.0/100.0,,Jame -2.51%;Moseyuh +0.13%;Zero +0.42%;JamYoung +0.54%;Jee +1.32%;Mercury +0.10%
9,1,Round started,5v5,50.0/50.0,PARIVISION=$30.35K (FULL);TYL=$22K (FULL),
9,2,JamYoung killed xiELO,4v5,27.8/72.2,,JamYoung +22.19%;xiELO -22.19%
9,3,Mercury killed slaxejezzz,3v5,9.2/90.8,,Mercury +15.78%;slaxejezzz -18.65%;Jee +2.87%
9,4,Zero killed FL1T,2v5,2.0/98.0,,Zero +4.09%;FL1T -7.24%;Moseyuh +0.28%;JamYoung +2.87%
9,5,Mercury planted the bomb,2v5,0.4/99.6,,Mercury +0.51%;slaxejezzz -0.61%;xiELO -0.72%;FL1T -0.24%;Moseyuh +0.01%;Zero +0.13%;JamYoung +0.82%;Jee +0.09%
